"Brand","Number"
"Arabian Oud","6"
"Hugo Boss","106"
"Mauboussin","5"
"Charriol","2"
"Jimmy Choo","3"
"Jean-Louis Scherrer","4"
"Alfred Dunhill","2"
"Giorgio Armani","291"
"S.T. Dupont","3"
"Hershey's","3"
"Chiko","7"
"Solen","6"
"Arcor","3"
"Snickers","3"
"BLOONZY","5"
"Nadiya","1"
"Nido","0"
"Masha and Bear","1"
"Caron","1"
"Tiffany","40"
"Al Capone","2"
"Agio","2"
"BIP","0"
